SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_EspressoCup,SM_Blue_Cup,8.99947,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.98364,False
SM_EspressoCup,SM_Blue_Cup,9.000991,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.992604,False
SM_EspressoCup,SM_Blue_Cup,8.989891,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.997466,False
SM_EspressoCup,SM_Blue_Cup,8.99509,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.943358,False
SM_EspressoCup,SM_Blue_Cup,8.991858,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.987144,False
SM_EspressoCup,SM_Blue_Cup,8.989581,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.984227,False
SM_EspressoCup,SM_Blue_Cup,8.997776,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.987528,False
SM_EspressoCup,SM_Blue_Cup,9.047737,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.974636,False
SM_EspressoCup,SM_Blue_Cup,9.029014,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.981207,False
SM_EspressoCup,SM_Blue_Cup,8.990837,10.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,9.983472,False
SM_EspressoCup,SM_Blue_Cup,5.996899,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.968488,False
SM_EspressoCup,SM_Blue_Cup,5.995148,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.994738,False
SM_EspressoCup,SM_Blue_Cup,5.99621,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.972418,False
SM_EspressoCup,SM_Blue_Cup,5.996066,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.9631,False
SM_EspressoCup,SM_Blue_Cup,5.992181,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.936708,False
SM_EspressoCup,SM_Blue_Cup,5.99342,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.937992,False
SM_EspressoCup,SM_Blue_Cup,5.995011,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.978024,False
SM_EspressoCup,SM_Blue_Cup,5.998,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.955946,False
SM_EspressoCup,SM_Blue_Cup,6.000778,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.94705,False
SM_EspressoCup,SM_Blue_Cup,5.994733,15.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,14.970112,False
SM_EspressoCup,SM_Blue_Cup,4.491382,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.98074,False
SM_EspressoCup,SM_Blue_Cup,4.664437,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.963291,False
SM_EspressoCup,SM_Blue_Cup,4.569386,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.925627,False
SM_EspressoCup,SM_Blue_Cup,4.541713,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.961054,False
SM_EspressoCup,SM_Blue_Cup,4.493135,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,20.017277,False
SM_EspressoCup,SM_Blue_Cup,4.489645,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.939976,False
SM_EspressoCup,SM_Blue_Cup,4.508368,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.976311,False
SM_EspressoCup,SM_Blue_Cup,4.923637,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.90399,False
SM_EspressoCup,SM_Blue_Cup,4.493456,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.959837,False
SM_EspressoCup,SM_Blue_Cup,4.499692,20.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,19.952864,False
SM_EspressoCup,SM_Blue_Cup,3.596165,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.969913,False
SM_EspressoCup,SM_Blue_Cup,3.669246,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.901604,False
SM_EspressoCup,SM_Blue_Cup,3.644449,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.951237,False
SM_EspressoCup,SM_Blue_Cup,3.591622,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.910648,False
SM_EspressoCup,SM_Blue_Cup,3.59619,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.924669,False
SM_EspressoCup,SM_Blue_Cup,3.600011,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.89678,False
SM_EspressoCup,SM_Blue_Cup,3.601622,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.862776,False
SM_EspressoCup,SM_Blue_Cup,3.918919,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.964443,False
SM_EspressoCup,SM_Blue_Cup,3.592442,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.876236,False
SM_EspressoCup,SM_Blue_Cup,3.59578,25.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,24.870312,False
SM_EspressoCup,SM_Blue_Cup,2.991774,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.802664,False
SM_EspressoCup,SM_Blue_Cup,2.99023,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.918276,False
SM_EspressoCup,SM_Blue_Cup,2.995795,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.92841,False
SM_EspressoCup,SM_Blue_Cup,2.991228,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.552967,False
SM_EspressoCup,SM_Blue_Cup,3.06501,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.824858,False
SM_EspressoCup,SM_Blue_Cup,2.991967,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.430569,False
SM_EspressoCup,SM_Blue_Cup,3.000058,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.73909,False
SM_EspressoCup,SM_Blue_Cup,2.993844,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.847603,False
SM_EspressoCup,SM_Blue_Cup,2.995592,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.921322,False
SM_EspressoCup,SM_Blue_Cup,2.99831,30.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,29.784498,False
SM_EspressoCup,SM_Blue_Cup,2.567009,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.730793,False
SM_EspressoCup,SM_Blue_Cup,2.563426,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.670856,False
SM_EspressoCup,SM_Blue_Cup,2.565165,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.670628,False
SM_EspressoCup,SM_Blue_Cup,2.568467,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.776787,False
SM_EspressoCup,SM_Blue_Cup,2.562671,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.789158,False
SM_EspressoCup,SM_Blue_Cup,2.568224,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.70113,False
SM_EspressoCup,SM_Blue_Cup,3.489899,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.726791,False
SM_EspressoCup,SM_Blue_Cup,2.567477,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.827065,False
SM_EspressoCup,SM_Blue_Cup,2.573093,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.732082,False
SM_EspressoCup,SM_Blue_Cup,2.566809,35.0,90.0,-0.4,-3.54,64.0,-0.4,-0.04,50.983212,15,0,34.901981,False
