SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,1.848004,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,9.966847,False
SM_Cup,SM_Blue_Cup,4.318414,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,9.953642,True
SM_Cup,SM_Blue_Cup,2.637636,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,9.957169,True
SM_Cup,SM_Blue_Cup,4.388805,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,9.956988,True
SM_Cup,SM_Blue_Cup,4.337573,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,9.962302,True
SM_Cup,SM_Blue_Cup,2.745601,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,9.953586,True
SM_Cup,SM_Blue_Cup,3.180146,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,9.979182,True
SM_Cup,SM_Blue_Cup,2.05329,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,9.979433,True
SM_Cup,SM_Blue_Cup,2.545081,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,9.971828,True
SM_Cup,SM_Blue_Cup,3.601656,10.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,9.951733,False
SM_Cup,SM_Blue_Cup,3.504843,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,14.943468,True
SM_Cup,SM_Blue_Cup,2.815936,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,14.907954,True
SM_Cup,SM_Blue_Cup,3.248594,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,14.885128,True
SM_Cup,SM_Blue_Cup,1.576935,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,14.940289,True
SM_Cup,SM_Blue_Cup,2.610416,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,14.852612,True
SM_Cup,SM_Blue_Cup,3.16081,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,14.885971,True
SM_Cup,SM_Blue_Cup,2.805381,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,14.935254,True
SM_Cup,SM_Blue_Cup,2.617946,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,14.892998,True
SM_Cup,SM_Blue_Cup,3.367672,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,14.906809,True
SM_Cup,SM_Blue_Cup,2.956705,15.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,14.865664,True
SM_Cup,SM_Blue_Cup,2.412636,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,19.807787,True
SM_Cup,SM_Blue_Cup,3.125154,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,19.805662,True
SM_Cup,SM_Blue_Cup,3.00716,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,19.840834,True
SM_Cup,SM_Blue_Cup,2.390946,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,19.693951,True
SM_Cup,SM_Blue_Cup,2.377002,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,19.862865,True
SM_Cup,SM_Blue_Cup,2.406146,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,19.750101,True
SM_Cup,SM_Blue_Cup,3.085227,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,19.884937,True
SM_Cup,SM_Blue_Cup,2.762311,20.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,19.883591,True
