SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,1.917564,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.98532,False
SM_Cup,SM_Blue_Cup,0.283908,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.994297,False
SM_Cup,SM_Blue_Cup,0.433342,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.994329,False
SM_Cup,SM_Blue_Cup,0.183334,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.999537,False
SM_Cup,SM_Blue_Cup,0.74168,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.986255,False
SM_Cup,SM_Blue_Cup,0.375009,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.988738,False
SM_Cup,SM_Blue_Cup,1.210217,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.995518,False
SM_Cup,SM_Blue_Cup,1.825031,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.986966,False
SM_Cup,SM_Blue_Cup,1.833763,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,1,9.998029,True
SM_Cup,SM_Blue_Cup,0.711949,10.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,9.999348,False
SM_Cup,SM_Blue_Cup,2.101034,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.95989,False
SM_Cup,SM_Blue_Cup,1.867185,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.979903,False
SM_Cup,SM_Blue_Cup,1.983392,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.976877,False
SM_Cup,SM_Blue_Cup,2.09196,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.974283,False
SM_Cup,SM_Blue_Cup,2.334014,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.974841,False
SM_Cup,SM_Blue_Cup,1.908389,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,2,14.965923,True
SM_Cup,SM_Blue_Cup,1.340962,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.965328,False
SM_Cup,SM_Blue_Cup,0.156137,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,1,14.994854,True
SM_Cup,SM_Blue_Cup,2.149755,15.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,14.995327,False
SM_Cup,SM_Blue_Cup,1.343011,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,2,19.985598,True
SM_Cup,SM_Blue_Cup,2.350273,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.959208,False
SM_Cup,SM_Blue_Cup,0.0,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.981661,False
SM_Cup,SM_Blue_Cup,0.0,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.998257,False
SM_Cup,SM_Blue_Cup,0.541687,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.969297,False
SM_Cup,SM_Blue_Cup,1.786844,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.94516,False
SM_Cup,SM_Blue_Cup,1.016734,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.948021,False
SM_Cup,SM_Blue_Cup,0.697042,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.974102,False
SM_Cup,SM_Blue_Cup,1.483906,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.979162,False
SM_Cup,SM_Blue_Cup,1.125095,20.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,19.965755,False
SM_Cup,SM_Blue_Cup,0.544057,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.886913,False
SM_Cup,SM_Blue_Cup,1.55008,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.894953,False
SM_Cup,SM_Blue_Cup,0.935853,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.962091,False
SM_Cup,SM_Blue_Cup,1.043231,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.956367,False
SM_Cup,SM_Blue_Cup,1.094424,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.935591,False
SM_Cup,SM_Blue_Cup,2.376926,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.930788,False
SM_Cup,SM_Blue_Cup,1.925772,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,1,24.900917,True
SM_Cup,SM_Blue_Cup,0.976921,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,1,25.241158,True
SM_Cup,SM_Blue_Cup,2.167396,25.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,24.934471,False
SM_Cup,SM_Blue_Cup,2.067633,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.842737,False
SM_Cup,SM_Blue_Cup,1.577706,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.887064,False
SM_Cup,SM_Blue_Cup,0.433871,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,3,29.903357,True
SM_Cup,SM_Blue_Cup,1.933995,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.836382,False
SM_Cup,SM_Blue_Cup,1.466897,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.92267,False
SM_Cup,SM_Blue_Cup,0.700446,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.981012,False
SM_Cup,SM_Blue_Cup,1.568236,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.903109,False
SM_Cup,SM_Blue_Cup,1.808557,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.836214,False
SM_Cup,SM_Blue_Cup,1.825594,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.973143,False
SM_Cup,SM_Blue_Cup,0.050688,30.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,29.908041,False
SM_Cup,SM_Blue_Cup,0.940973,35.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,34.846313,False
SM_Cup,SM_Blue_Cup,1.142037,35.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,2,34.814552,True
SM_Cup,SM_Blue_Cup,1.509359,35.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,34.958939,False
SM_Cup,SM_Blue_Cup,1.489117,35.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,1,34.853836,True
SM_Cup,SM_Blue_Cup,1.270851,35.0,90.0,-0.4,-6.428856,66.223129,-0.400008,-0.687516,51.444954,64,0,34.804241,False
