SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_EspressoCup,0.0,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.986889,False
SM_Cup,SM_EspressoCup,0.0,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.972689,False
SM_Cup,SM_EspressoCup,0.530654,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.97219,False
SM_Cup,SM_EspressoCup,0.0,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.989536,False
SM_Cup,SM_EspressoCup,0.011941,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.99047,False
SM_Cup,SM_EspressoCup,0.481595,10.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,9.992598,False
SM_Cup,SM_EspressoCup,0.898499,15.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,14.944323,False
SM_Cup,SM_EspressoCup,0.610087,15.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,14.992191,False
SM_Cup,SM_EspressoCup,0.704265,15.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,14.976244,False
SM_Cup,SM_EspressoCup,0.207358,20.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,19.7917,False
SM_Cup,SM_EspressoCup,0.940819,20.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,19.86879,False
SM_Cup,SM_EspressoCup,0.525855,20.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,19.935385,False
SM_Cup,SM_EspressoCup,1.548409,20.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,19.833721,False
SM_Cup,SM_EspressoCup,1.481636,25.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,24.798767,False
SM_Cup,SM_EspressoCup,1.384618,25.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,24.801886,False
SM_Cup,SM_EspressoCup,1.331361,25.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,30,0,24.93705,False
