SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Cup_Dest,1.517704,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.996181,False
SM_Cup,SM_Cup_Dest,2.843096,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.979801,False
SM_Cup,SM_Cup_Dest,1.636328,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.993882,False
SM_Cup,SM_Cup_Dest,2.807477,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.996802,False
SM_Cup,SM_Cup_Dest,3.250028,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.995723,False
SM_Cup,SM_Cup_Dest,3.701209,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.984877,False
SM_Cup,SM_Cup_Dest,2.486244,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.983065,False
SM_Cup,SM_Cup_Dest,2.628785,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.985942,False
SM_Cup,SM_Cup_Dest,2.260615,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.982165,False
SM_Cup,SM_Cup_Dest,1.941317,10.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,9.992233,False
SM_Cup,SM_Cup_Dest,2.545979,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.978944,False
SM_Cup,SM_Cup_Dest,1.558532,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.980111,False
SM_Cup,SM_Cup_Dest,2.969675,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.967846,False
SM_Cup,SM_Cup_Dest,2.687258,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.941098,False
SM_Cup,SM_Cup_Dest,3.091855,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.820258,False
SM_Cup,SM_Cup_Dest,3.787132,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,2,14.946502,True
SM_Cup,SM_Cup_Dest,3.711962,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.823111,False
SM_Cup,SM_Cup_Dest,2.938915,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.848401,False
SM_Cup,SM_Cup_Dest,2.985301,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.940734,False
SM_Cup,SM_Cup_Dest,3.260675,15.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,14.888685,False
SM_Cup,SM_Cup_Dest,3.152205,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,1,19.737757,True
SM_Cup,SM_Cup_Dest,2.954786,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,19.89435,False
SM_Cup,SM_Cup_Dest,2.621165,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,19.818552,False
SM_Cup,SM_Cup_Dest,2.697446,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,1,19.750498,True
SM_Cup,SM_Cup_Dest,3.043637,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,2,19.835932,True
SM_Cup,SM_Cup_Dest,3.133668,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,19.779896,False
SM_Cup,SM_Cup_Dest,3.018995,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,2,19.85758,True
SM_Cup,SM_Cup_Dest,2.28461,20.0,90.0,75.0,-5.388856,64.928764,74.999985,1.775164,52.252579,132,0,19.723749,False
